CountryCode,LongLat,TimeZone
AD, +4230+00131, Europe/Andorra
AE, +2518+05518, Asia/Dubai
AF, +3431+06912, Asia/Kabul
AG, +1039-06131, America/Port_of_Spain
AI, +1039-06131, America/Port_of_Spain
AL, +4120+01950, Europe/Tirane
AM, +4011+04430, Asia/Yerevan
AO, +0627+00324, Africa/Lagos
AQ, -3652+17446, Pacific/Auckland
AQ, -6448-06406, Antarctica/Palmer
AQ, -6617+11031, Antarctica/Casey
AQ, -6640+14001, Antarctica/DumontDUrville
AQ, -6734-06808, Antarctica/Rothera
AQ, -6736+06253, Antarctica/Mawson
AQ, -6835+07758, Antarctica/Davis
AQ, -690022+0393524, Antarctica/Syowa
AQ, -720041+0023206, Antarctica/Troll
AQ, -7824+10654, Antarctica/Vostok
AR, -2411-06518, America/Argentina/Jujuy
AR, -2447-06525, America/Argentina/Salta
AR, -2649-06513, America/Argentina/Tucuman
AR, -2828-06547, America/Argentina/Catamarca
AR, -2926-06651, America/Argentina/La_Rioja
AR, -3124-06411, America/Argentina/Cordoba
AR, -3132-06831, America/Argentina/San_Juan
AR, -3253-06849, America/Argentina/Mendoza
AR, -3319-06621, America/Argentina/San_Luis
AR, -3436-05827, America/Argentina/Buenos_Aires
AR, -5138-06913, America/Argentina/Rio_Gallegos
AR, -5448-06818, America/Argentina/Ushuaia
AS, -1416-17042, Pacific/Pago_Pago
AT, +4813+01620, Europe/Vienna
AU, -1228+13050, Australia/Darwin
AU, -2016+14900, Australia/Lindeman
AU, -2728+15302, Australia/Brisbane
AU, -3133+15905, Australia/Lord_Howe
AU, -3143+12852, Australia/Eucla
AU, -3157+11551, Australia/Perth
AU, -3157+14127, Australia/Broken_Hill
AU, -3352+15113, Australia/Sydney
AU, -3455+13835, Australia/Adelaide
AU, -3749+14458, Australia/Melbourne
AU, -3956+14352, Australia/Currie
AU, -4253+14719, Australia/Hobart
AU, -5430+15857, Antarctica/Macquarie
AW, +1211-06900, America/Curacao
AX, +6010+02458, Europe/Helsinki
AZ, +4023+04951, Asia/Baku
BA, +4450+02030, Europe/Belgrade
BB, +1306-05937, America/Barbados
BD, +2343+09025, Asia/Dhaka
BE, +5050+00420, Europe/Brussels
BF, +0519-00402, Africa/Abidjan
BG, +4241+02319, Europe/Sofia
BH, +2517+05132, Asia/Qatar
BI, -2558+03235, Africa/Maputo
BJ, +0627+00324, Africa/Lagos
BL, +1039-06131, America/Port_of_Spain
BM, +3217-06446, Atlantic/Bermuda
BN, +0456+11455, Asia/Brunei
BO, -1630-06809, America/La_Paz
BQ, +1211-06900, America/Curacao
BR, +0249-06040, America/Boa_Vista
BR, -0127-04829, America/Belem
BR, -0226-05452, America/Santarem
BR, -0308-06001, America/Manaus
BR, -0343-03830, America/Fortaleza
BR, -0351-03225, America/Noronha
BR, -0640-06952, America/Eirunepe
BR, -0712-04812, America/Araguaina
BR, -0803-03454, America/Recife
BR, -0846-06354, America/Porto_Velho
BR, -0940-03543, America/Maceio
BR, -0958-06748, America/Rio_Branco
BR, -1259-03831, America/Bahia
BR, -1535-05605, America/Cuiaba
BR, -2027-05437, America/Campo_Grande
BR, -2332-04637, America/Sao_Paulo
BS, +2505-07721, America/Nassau
BT, +2728+08939, Asia/Thimphu
BW, -2558+03235, Africa/Maputo
BY, +5354+02734, Europe/Minsk
BZ, +1730-08812, America/Belize
CA, +4339-07923, America/Toronto
CA, +4439-06336, America/Halifax
CA, +4606-06447, America/Moncton
CA, +4612-05957, America/Glace_Bay
CA, +4734-05243, America/St_Johns
CA, +4823-08915, America/Thunder_Bay
CA, +4843-09434, America/Rainy_River
CA, +484531-0913718, America/Atikokan
CA, +4901-08816, America/Nipigon
CA, +4906-11631, America/Creston
CA, +4916-12307, America/Vancouver
CA, +4953-09709, America/Winnipeg
CA, +5017-10750, America/Swift_Current
CA, +5024-10439, America/Regina
CA, +5125-05707, America/Blanc-Sablon
CA, +5320-06025, America/Goose_Bay
CA, +5333-11328, America/Edmonton
CA, +5848-12242, America/Fort_Nelson
CA, +5946-12014, America/Dawson_Creek
CA, +6043-13503, America/Whitehorse
CA, +6227-11421, America/Yellowknife
CA, +624900-0920459, America/Rankin_Inlet
CA, +6344-06828, America/Iqaluit
CA, +6404-13925, America/Dawson
CA, +6608-06544, America/Pangnirtung
CA, +682059-1334300, America/Inuvik
CA, +690650-1050310, America/Cambridge_Bay
CA, +744144-0944945, America/Resolute
CC, -1210+09655, Indian/Cocos
CD, +0627+00324, Africa/Lagos
CD, -2558+03235, Africa/Maputo
CF, +0627+00324, Africa/Lagos
CG, +0627+00324, Africa/Lagos
CH, +4723+00832, Europe/Zurich
CI, +0519-00402, Africa/Abidjan
CK, -2114-15946, Pacific/Rarotonga
CL, -2709-10926, Pacific/Easter
CL, -3327-07040, America/Santiago
CL, -5309-07055, America/Punta_Arenas
CM, +0627+00324, Africa/Lagos
CN, +3114+12128, Asia/Shanghai
CN, +4348+08735, Asia/Urumqi
CO, +0436-07405, America/Bogota
CR, +0956-08405, America/Costa_Rica
CU, +2308-08222, America/Havana
CV, +1455-02331, Atlantic/Cape_Verde
CW, +1211-06900, America/Curacao
CX, -1025+10543, Indian/Christmas
CY, +3507+03357, Asia/Famagusta
CY, +3510+03322, Asia/Nicosia
CZ, +5005+01426, Europe/Prague
DE, +4723+00832, Europe/Zurich
DE, +5230+01322, Europe/Berlin
DJT, -0117+03649, Africa/Nairobi
DK, +5540+01235, Europe/Copenhagen
DM, +1039-06131, America/Port_of_Spain
DO, +1828-06954, America/Santo_Domingo
DZ, +3647+00303, Africa/Algiers
EC, -0054-08936, Pacific/Galapagos
EC, -0210-07950, America/Guayaquil
EE, +5925+02445, Europe/Tallinn
EG, +3003+03115, Africa/Cairo
EH, +2709-01312, Africa/El_Aaiun
ER, -0117+03649, Africa/Nairobi
ES, +2806-01524, Atlantic/Canary
ES, +3553-00519, Africa/Ceuta
ES, +4024-00341, Europe/Madrid
ET, -0117+03649, Africa/Nairobi
FI, +6010+02458, Europe/Helsinki
FJ, -1808+17825, Pacific/Fiji
FK, -5142-05751, Atlantic/Stanley
FM, +0519+16259, Pacific/Kosrae
FM, +0658+15813, Pacific/Pohnpei
FM, +0725+15147, Pacific/Chuuk
FO, +6201-00646, Atlantic/Faroe
FR, +4852+00220, Europe/Paris
GA, +0627+00324, Africa/Lagos
GB, +513030-0000731, Europe/London
GD, +1039-06131, America/Port_of_Spain
GE, +4143+04449, Asia/Tbilisi
GF, +0456-05220, America/Cayenne
GG, +513030-0000731, Europe/London
GH, +0533-00013, Africa/Accra
GI, +3608-00521, Europe/Gibraltar
GL, +6411-05144, America/Godthab
GL, +7029-02158, America/Scoresbysund
GL, +7634-06847, America/Thule
GL, +7646-01840, America/Danmarkshavn
GM, +0519-00402, Africa/Abidjan
GN, +0519-00402, Africa/Abidjan
GP, +1039-06131, America/Port_of_Spain
GQ, +0627+00324, Africa/Lagos
GR, +3758+02343, Europe/Athens
GS, -5416-03632, Atlantic/South_Georgia
GT, +1438-09031, America/Guatemala
GU, +1328+14445, Pacific/Guam
GW, +1151-01535, Africa/Bissau
GY, +0648-05810, America/Guyana
HK, +2217+11409, Asia/Hong_Kong
HN, +1406-08713, America/Tegucigalpa
HR, +4450+02030, Europe/Belgrade
HT, +1832-07220, America/Port-au-Prince
HU, +4730+01905, Europe/Budapest
ID, -0002+10920, Asia/Pontianak
ID, -0232+14042, Asia/Jayapura
ID, -0507+11924, Asia/Makassar
ID, -0610+10648, Asia/Jakarta
IE, +5320-00615, Europe/Dublin
